Doctor Name,Specialization,Room No,Contact
Dr. Uzma Bano ,Cardiologist,Room 101,123-456-7890
Dr. Kashif Khan,Cardiologist,Room 102,123-456-7891
Dr. Saim Sattar,Cardiologist,Room 103,123-456-7892
Dr. Syed Fayyaz Ahmad Shah,Cardiologist,Room 104,123-456-7893
Dr. Asma Janjua,Cardiologist,Room 105,123-456-7894
Dr. Ayaz Ahmad,Cardiologist,Room 106,123-456-7895
Dr. Hajra Akbar,Cardiologist,Room 107,123-456-7896
Dr. Tanzeel Ur Rehman Ahmad,Cardiologist,Room 108,123-456-7897
Dr. Khalid Raja,Cardiologist,Room 109,123-456-7898
Dr. Erum Nisa,Cardiologist,Room 110,123-456-7899
Dr. Amjad Mahmood,Cardiologist,Room 110,123-456-7900
